epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85854,2.43617,4.63271,1.58702,0.00023,0.2,0.00187,0.00073,2.27551,4.58633,1.50604,9e-05,9e-05,0.09109
2,7.14912,2.23945,4.04592,1.36806,0.00024,0.2,0.0191,0.00314,2.40935,4.54286,1.71238,0.000186238,0.000186238,0.0811862
3,10.3219,1.984,3.38441,1.21208,0.00025,0.2,0.00336,0.00046,2.32779,4.60307,1.63825,0.000278516,0.000278516,0.0712785
4,13.7257,1.96561,3.11683,1.22532,0.0002,0.16,0.00215,0.00041,2.20866,4.34538,1.53197,0.000366834,0.000366834,0.0613668
5,16.9396,1.82793,2.82236,1.18567,0.0578,0.6,0.19863,0.09609,2.05985,3.86596,1.40904,0.000451192,0.000451192,0.0514512
6,20.3174,1.9099,2.5413,1.20018,0.05963,0.88,0.28659,0.14928,1.82177,3.47423,1.21277,0.00053159,0.00053159,0.0415316
7,23.6406,1.87309,2.38699,1.20302,0.05149,1,0.37692,0.1977,1.72673,3.34176,1.18337,0.000608028,0.000608028,0.031608
8,26.9246,1.90264,2.21586,1.21139,0.03968,1,0.4644,0.2398,1.68386,3.00385,1.18001,0.000680506,0.000680506,0.0216805
9,30.2062,1.79101,2.08444,1.19265,0.83631,0.11691,0.4547,0.24768,1.69517,2.84296,1.18672,0.000749024,0.000749024,0.011749
10,34.1402,1.69113,1.89928,1.15326,0.68726,0.37293,0.59998,0.29531,1.57394,2.57681,1.12147,0.000813582,0.000813582,0.00181358
11,37.9965,1.71578,1.85515,1.15924,0.45866,0.40645,0.61241,0.2844,1.58206,2.40802,1.09763,0.000802,0.000802,0.000802
12,41.4634,1.74332,1.81237,1.10736,0.44585,0.55788,0.56932,0.27513,1.59202,2.25205,1.08757,0.0007822,0.0007822,0.0007822
13,45.0971,1.69536,1.93843,1.17908,0.51226,0.7161,0.644,0.3244,1.58361,2.0664,1.09223,0.0007624,0.0007624,0.0007624
14,48.6626,1.68869,1.74528,1.20844,0.74244,0.62687,0.7306,0.41393,1.49802,1.9642,1.07749,0.0007426,0.0007426,0.0007426
15,52.4812,1.56081,1.68338,1.07912,0.74347,0.66969,0.80153,0.42059,1.55197,1.82786,1.1092,0.0007228,0.0007228,0.0007228
16,56.6441,1.5632,1.63079,1.07598,0.89751,0.75759,0.86682,0.42768,1.67519,1.57647,1.1623,0.000703,0.000703,0.000703
17,60.4038,1.63435,1.57546,1.12936,0.85108,0.89433,0.9169,0.45067,1.69578,1.41535,1.17811,0.0006832,0.0006832,0.0006832
18,64.0331,1.63799,1.58218,1.07367,0.85671,0.8856,0.92333,0.47046,1.62063,1.333,1.121,0.0006634,0.0006634,0.0006634
19,67.6202,1.55112,1.49988,1.10151,0.81933,0.92,0.91832,0.48255,1.57258,1.34192,1.09729,0.0006436,0.0006436,0.0006436
20,71.2025,1.6022,1.55126,1.15245,0.82009,0.90702,0.87846,0.47846,1.55021,1.3429,1.09752,0.0006238,0.0006238,0.0006238
21,74.7149,1.54057,1.60399,1.11024,0.77588,0.86288,0.79987,0.43697,1.60106,1.31995,1.12599,0.000604,0.000604,0.000604
22,78.3202,1.43878,1.46683,1.1022,0.75533,0.89876,0.84971,0.41043,1.55393,1.33929,1.12296,0.0005842,0.0005842,0.0005842
23,81.6614,1.57797,1.50983,1.12181,0.79395,0.92969,0.90908,0.4351,1.51103,1.39569,1.09958,0.0005644,0.0005644,0.0005644
24,85.0886,1.5706,1.52925,1.0836,0.79289,0.92926,0.90656,0.45109,1.47517,1.46813,1.07388,0.0005446,0.0005446,0.0005446
25,88.6575,1.4713,1.45282,1.068,0.81209,0.95778,0.90656,0.44848,1.46302,1.51279,1.0687,0.0005248,0.0005248,0.0005248
26,92.1417,1.43583,1.42057,1.02971,0.85501,0.88897,0.88424,0.47052,1.44564,1.31748,1.05266,0.000505,0.000505,0.000505
27,95.6945,1.34693,1.32001,1.01719,0.82201,0.8338,0.88454,0.47241,1.43185,1.23034,1.04634,0.0004852,0.0004852,0.0004852
28,99.2156,1.47257,1.32441,1.04745,0.79066,0.88,0.88981,0.44679,1.43433,1.22715,1.05327,0.0004654,0.0004654,0.0004654
29,103.013,1.42979,1.37228,1.05278,0.87471,0.82661,0.89261,0.45228,1.44246,1.26753,1.063,0.0004456,0.0004456,0.0004456
